,Manufacturer,Model,Application(s),Power,SFC,Airflow,OPR,Number,LPC,HPC,HPT,IPT,LPT,Length,Diameter,Weight
0,Allison,250-B17C,"Cessna 402/414, Nomad N-22/-24,  BN-2T, P68TP, A36, GZ22, AT-35",313.194,0.3996382438120626,4.0,7.2,1 + FT,,6 + 1C,2.0,,2.0,1.1404599999999998,0.5715,89.811216
1,Allison,250-B17D,"SF260TP, KM2D, HTT34, CT-4C",313.194,0.3996382438120626,4.0,7.2,1 + FT,,6 + 1C,2.0,,2.0,1.1404599999999998,0.5715,91.625584
2,Allison,250-B17E,Nomad N-22/-24,313.194,0.3996382438120626,4.0,7.2,1 + FT,,6 + 1C,2.0,,2.0,1.1404599999999998,0.5715,91.625584
3,Allison,250-B17F,"AT-34, Grob 140TP",335.565,0.371049206583498,4.0,7.9,1 + FT,,4 + 1C,2.0,,2.0,1.1404599999999998,0.5715,96.161504
4,Allison,250-C20B,"Bell 47G, Bell 206B-1/B-3,  AB206B, MD500D/E, A109A, BO105CBS/CBS-4/CBS-5, RH-1100, UH-12E, KA226",313.194,0.39538030209717,4.0,7.2,1 + FT,,6 + 1C,2.0,,2.0,0.9855199999999998,0.5892799999999999,73.028312
5,Allison,250-C20F,AS355E/F1/F2,313.194,0.39538030209717,4.0,7.2,1 + FT,,6 + 1C,2.0,,2.0,0.9855199999999998,0.5892799999999999,73.028312
6,Allison,250-C20J,Bell 206B-3/L,313.194,0.39538030209717,4.0,7.2,1 + FT,,6 + 1C,2.0,,2.0,0.9855199999999998,0.5892799999999999,73.028312
7,Allison,250-C20R,"Bell 206LT, Gemini ST, Bell 400/440 (not produced)",335.565,0.3698326518078144,,7.9,1 + FT,,4 + 1C,2.0,,2.0,0.9855199999999998,0.5892799999999999,78.471416
8,Allison,250-C20R/1,"A109A Mk.2, A109C/C Max, Gemini  ST",335.565,0.3698326518078144,,7.9,1 + FT,,4 + 1C,2.0,,2.0,0.9855199999999998,0.5892799999999999,78.471416
9,Allison,250-C20R/2,"Bell 260B-3/L, MD500D/ER,  MD520N, KA-226A",335.565,0.3698326518078144,,7.9,1 + FT,,4 + 1C,2.0,,2.0,0.9855199999999998,0.5892799999999999,78.471416
10,Allison,250-C20R/3,BO108 (not produced/see EC135),335.565,0.3698326518078144,,7.9,1 + FT,,4 + 1C,2.0,,2.0,0.9855199999999998,0.5892799999999999,78.471416
11,Allison,250-C20R/4,Bell 206B-3/L,335.565,0.3698326518078144,,7.9,1 + FT,,4 + 1C,2.0,,2.0,0.9855199999999998,0.5892799999999999,78.471416
12,Allison,250-C20R/9,,335.565,0.3698326518078144,,7.9,1 + FT,,4 + 1C,2.0,,2.0,0.9855199999999998,0.5892799999999999,78.471416
13,Allison,250-C28B,"Bell 206L-1, AB206L",372.85,0.3686160970321308,4.0,8.4,1 + FT,,1C,2.0,,2.0,1.20142,0.63754,104.32616
14,Allison,250-C28C,BO105LS/LS-A1/LS-A3,372.85,0.3686160970321308,4.0,8.4,1 + FT,,1C,2.0,,2.0,1.20142,0.63754,104.32616
15,Allison,250-C30,"MD530, FT600, S-76A",484.70500000000004,0.36010021360234556,6.0,8.4,1 + FT,,1C,2.0,,2.0,1.0413999999999999,0.63754,108.86207999999999
16,Allison,250-C30G,Bell 222,484.70500000000004,0.36010021360234556,6.0,8.6,1 + FT,,1C,2.0,,2.0,1.09728,0.6476999999999999,117.026736
17,Allison,250-C30G/2,Bell 230,484.70500000000004,0.36010021360234556,6.0,8.6,1 + FT,,1C,2.0,,2.0,1.09728,0.6476999999999999,117.026736
18,Allison,250-C30M,AS350D,484.70500000000004,0.36010021360234556,6.0,8.6,1 + FT,,1C,2.0,,2.0,1.09728,0.6476999999999999,117.026736
19,Allison,250-C30P,Bell 206L-3/L-4,484.70500000000004,0.36010021360234556,6.0,8.6,1 + FT,,1C,2.0,,2.0,1.09728,0.6476999999999999,117.026736
20,Allison,250-C30S,S-76A-2,484.70500000000004,0.36010021360234556,6.0,8.6,1 + FT,,1C,2.0,,2.0,1.09728,0.6476999999999999,117.026736
21,Allison,250-C40B,Bell 430,533.1755,0.346718111069826,,9.2,1 + FT,,1C,2.0,,2.0,1.0413999999999999,0.63754,127.00576
22,Allison (Rolls-Royce),250-C47B,Bell 407,484.70500000000004,0.35280088494824396,6.0,9.2,1 + FT,,1C,2.0,,2.0,1.0413999999999999,0.63754,124.28420799999999
23,Allison (Rolls-Royce),250-C47M,MD600N,484.70500000000004,0.35280088494824396,6.0,9.2,1 + FT,,1C,2.0,,2.0,1.0413999999999999,0.63754,124.28420799999999
24,Allison,501-D22A,Lockheed L-100-20/-30,3422.763,0.316304241677736,33.0,9.6,1,,14,4.0,,,3.7083999999999997,1.13284,831.887728
25,Allison (Rolls-Royce),AE 2100A,Saab 2000,3096.1464,0.279807598407228,,17.0,1 + FT,,14,2.0,,2.0,2.9972,0.72898,744.344472
26,Avco Lycoming,LTC 4B-8D,Bell 214A,1677.825,0.383214754340334,,6.0,1 + FT,,7 + 1C,2.0,,2.0,1.1176,0.6095999999999999,274.42316
27,Avco Lycoming,LTP 101-600A-1A,"Cessna/Riley 421, Turbo Thrush, Ag-Cat, AT-302/-302A, Do  28D-5X",458.6055,0.3309028989859392,,8.5,1 + FT,,1 + 1C,1.0,,1.0,0.9499599999999999,0.5334,147.4174
