,Manufacturer,Model,Application(s),Power,SFC,Airflow,OPR,Number,LPC,HPC,HPT,IPT,LPT,Length,Diameter,Weight
0,Allison,250-B17C,"P68TP, A36, GZ22",313.194,0.3996382438120626,4.0,7.2,1 + FT,,6 + 1C,2.0,,2.0,1.143,0.5715,88.45044
1,MTU,250-MTU-C20B,BO105M/P,313.194,0.39538030209717,4.0,7.2,1 + FT,,6 + 1C,2.0,,2.0,1.03378,0.5892799999999999,71.667536
2,Allison,250-C20J,"TH-57B/C, TH-67A",313.194,0.39538030209717,4.0,7.2,1 + FT,,6 + 1C,2.0,,2.0,0.9855199999999998,0.5892799999999999,73.028312
3,Allison,250-C20R/1,"A109A Mk.2, A190 EOA, A109CM",335.565,0.3698326518078144,,7.9,1 + FT,,4 + 1C,2.0,,2.0,0.9855199999999998,0.5892799999999999,78.471416
4,Allison,250-C28C,BO105LS/LS-A1/LS-A3,372.85,0.3686160970321308,4.0,8.4,1 + FT,,1C,2.0,,2.0,1.20142,0.63754,104.32616
5,Allison,250-C30L,Bell 406CS,484.70500000000004,0.36010021360234556,6.0,8.6,1 + FT,,1C,2.0,,2.0,1.09728,0.6476999999999999,117.026736
6,Allison,250-C30R,"AH-58D, OH-58D",484.70500000000004,0.36010021360234556,6.0,8.4,1 + FT,,1C,2.0,,2.0,1.09728,0.6476999999999999,117.026736
7,Allison,250-C30R/1,"AH-58D, OH-58D",484.70500000000004,0.36010021360234556,6.0,8.4,1 + FT,,1C,2.0,,2.0,1.09728,0.6476999999999999,117.026736
8,Allison,250-C30R/2,"AH-58D, OH-58D",484.70500000000004,0.36010021360234556,6.0,8.4,1 + FT,,1C,2.0,,2.0,1.09728,0.6476999999999999,117.026736
9,Allison,250-C30R/3,"AH-58D, OH-58D",484.70500000000004,0.36010021360234556,6.0,8.4,1 + FT,,1C,2.0,,2.0,1.09728,0.6476999999999999,117.026736
10,Allison,250-C30R/3M,"AH-6??, MH-6??",484.70500000000004,0.36010021360234556,6.0,8.4,1 + FT,,1C,2.0,,2.0,1.09728,0.6476999999999999,117.026736
11,Allison,250-C30S,"AUH-76A, S-75, S-76A-2",484.70500000000004,0.36010021360234556,6.0,8.4,1 + FT,,1C,2.0,,2.0,1.09728,0.6476999999999999,117.026736
12,Turbomeca,Arriel 1A,SA365C,477.99370000000005,0.34854294323335133,,9.0,1 + FT,,1 + 1C,2.0,,1.0,1.0896599999999999,0.5689599999999999,120.20188
13,Turbomeca,Arriel 1A1,SA365C1,477.99370000000005,0.34854294323335133,,9.0,1 + FT,,1 + 1C,2.0,,1.0,1.0896599999999999,0.5689599999999999,120.20188
14,Turbomeca,Arriel 1A2,SA365C2,477.99370000000005,0.34854294323335133,,9.0,1 + FT,,1 + 1C,2.0,,1.0,1.0896599999999999,0.5689599999999999,120.20188
15,Turbomeca,Arriel 1B,AS350B/BA,477.99370000000005,0.34854294323335133,,9.0,1 + FT,,1 + 1C,2.0,,1.0,1.0896599999999999,0.5689599999999999,120.20188
16,Turbomeca,Astazou XIVB,SA319F,427.28610000000003,0.3795650900132832,,,1,,2 + 1C,3.0,,,1.4300199999999998,,166.014672
17,Turbomeca,Astazou XX,SA361,749.4285,0.30900491302363436,,,1,,3 + 1C,4.0,,,1.52908,0.7213599999999999,195.04456
18,GE,CT7-2A,EH101 prototypes,1211.7625,0.28771520444917137,,,1 + FT,,5 + 1C,2.0,,2.0,1.1938,0.6604,200.487664
19,GE,CT7-6A1,"CH-148 Petrel, CH-149 Chimo (not produced)",1599.5265000000002,0.270683437589601,,19.0,1 + FT,,5 + 1C,2.0,,2.0,1.22428,0.635,223.620856
20,LHTEC,CTS800-2,A129,1014.152,0.27250826975312636,,14.1,1 + FT,,2C,2.0,,2.0,1.04648,0.6985,173.725736
21,LHTEC,CTS800-4N,"UH-1H, Super Lynx 300",1014.152,0.27250826975312636,,14.1,1 + FT,,2C,2.0,,2.0,1.04648,0.6985,173.725736
22,Progress,D-136,"Mi-26 'Halo', Mi-26MS/T/TZ",8500.98,0.2773744888558608,562.0,18.7,2 + FT,6,7,1.0,1,2.0,3.7160200000000003,1.40208,1050.06548
23,Napier,Gazelle NGa.2 Mk.101,Belvedere HC.1,1092.4505000000001,0.450125267002932,16.0,6.3,1 + FT,,11,2.0,,1.0,1.905,1.0795,420.933376
