α,	Cl,	Cd,	Cm, 0.25,	Cp,	M_cr.
[°],	   [-],	   [-],	       [-],	   [-],	   [-]
-6.5,	-0.001,	0.05204,	-0.055,	-2.862,	0.430
-5.5,	0.083,	0.04510,	-0.063,	-2.259,	0.470
-4.5,	0.177,	0.03493,	-0.076,	-1.776,	0.512
-3.5,	0.312,	0.02303,	-0.098,	-1.330,	0.562
-2.5,	0.417,	0.02631,	-0.099,	-0.953,	0.618
-1.5,	0.521,	0.03076,	-0.101,	-1.031,	0.606
-0.5,	0.626,	0.03607,	-0.102,	-1.129,	0.590
0.5,	0.722,	0.04191,	-0.103,	-1.236,	0.575
1.5,	0.822,	0.04779,	-0.105,	-1.350,	0.559
2.5,	0.915,	0.05518,	-0.106,	-1.472,	0.544
3.5,	1.011,	0.06379,	-0.107,	-1.606,	0.530
4.5,	1.104,	0.07303,	-0.108,	-1.757,	0.513
5.5,	1.196,	0.08293,	-0.109,	-1.940,	0.497
6.5,	1.283,	0.09368,	-0.110,	-2.265,	0.470
7.5,	1.364,	0.10480,	-0.111,	-2.721,	0.439
8.5,	1.439,	0.11632,	-0.112,	-3.251,	0.410
9.5,	1.505,	0.12811,	-0.113,	-3.898,	0.381
10.5,	1.557,	0.14492,	-0.114,	-4.588,	0.356
11.5,	1.593,	0.15716,	-0.114,	-5.319,	0.335
12.5,	1.609,	0.16726,	-0.114,	-6.091,	0.315
13.5,	1.606,	0.17678,	-0.114,	-6.902,	0.299
14.5,	1.580,	0.18625,	-0.113,	-7.753,	0.283
15.5,	1.514,	0.20076,	-0.108,	-8.640,	0.270
16.5,	1.351,	0.23952,	-0.067,	-9.565,	0.258
17.5,	1.294,	0.25591,	-0.061,	-10.525,	0.246
18.5,	1.225,	0.27498,	-0.059,	-11.519,	0.236
19.5,	1.144,	0.29664,	-0.057,	-12.546,	0.228
