Bank angle	n	S	Waarde	Perc
1	1,000152328	35,44855972	0,866157324	86,61573237
2	1,000609544	35,46476491	0,866553285	86,65532846
3	1,001372346	35,49180102	0,86721389	86,72138903
4	1,002441898	35,52970932	0,86814015	86,81401496
5	1,003819838	35,57854785	0,86933348	86,93334801
6	1,00550828	35,63839157	0,870795714	87,07957138
7	1,007509825	35,70933269	0,872529103	87,25291034
8	1,009827573	35,79148097	0,874536331	87,45363312
9	1,012465126	35,88496419	0,876820519	87,68205194
10	1,015426612	35,98992862	0,879385242	87,93852416
11	1,018716695	36,10653956	0,882234537	88,22345371
12	1,022340595	36,23498203	0,885372926	88,53729265
13	1,026304108	36,37546146	0,888805429	88,88054294
14	1,030613629	36,52820452	0,892537585	89,25375845
15	1,03527618	36,69346007	0,896575472	89,65754722
16	1,040299436	36,87150012	0,900925739	90,0925739
17	1,045691756	37,062621	0,905595626	90,55956256
18	1,051462224	37,26714462	0,910592997	91,05929973
19	1,057620681	37,4854198	0,915926377	91,59263775
20	1,064177772	37,71782384	0,921604985	92,16049851
21	1,071144994	37,96476418	0,927638776	92,76387756
22	1,078534743	38,22668024	0,934038486	93,4038486
23	1,086360377	38,50404547	0,940815684	94,08156845
24	1,094636279	38,79736957	0,947982825	94,79828251
25	1,103377919	39,10720093	0,955553308	95,55533078
26	1,11260194	39,43412941	0,963541545	96,35415448
27	1,122326238	39,77878924	0,971963033	97,19630331
28	1,132570051	40,14186235	0,980834435	98,08344355
29	1,143354068	40,52408201	0,990173668	99,01736683
30	1,154700538	40,92623678	1	100
31	1,166633397	41,34917502	1,010334159	101,0334159
32	1,179178403	41,79380969	1,021198453	102,1198453
33	1,192363293	42,26112384	1,032616902	103,2616902
34	1,206217949	42,75217663	1,044615386	104,4615386
35	1,220774589	43,26810997	1,057221806	105,7221806
36	1,236067977	43,81015601	1,070466269	107,0466269
37	1,252135658	44,37964539	1,084381289	108,4381289
38	1,269018215	44,97801657	1,099002012	109,9002012
39	1,286759566	45,60682612	1,114366473	111,4366473
40	1,305407289	46,26776038	1,130515875	113,0515875
41	1,325012993	46,9626485	1,147494913	114,7494913
42	1,34563273	47,69347713	1,165352128	116,5352128
43	1,367327461	48,46240698	1,184140317	118,4140317
44	1,390163591	49,2717916	1,203916985	120,3916985
45	1,414213562	50,12419861	1,224744871	122,4744871
46	1,43955654	51,02243382	1,246692533	124,6692533
47	1,466279186	51,96956886	1,269835024	126,9835024
48	1,49447655	52,96897257	1,294254658	129,4254658
49	1,524253087	54,02434715	1,320041895	132,0041895
50	1,555723827	55,13976966	1,347296355	134,7296355
51	1,589015729	56,3197399	1,376127988	137,6127988
52	1,624269245	57,56923595	1,406658429	140,6658429
53	1,661640141	58,89377861	1,439022574	143,9022574
54	1,701301617	60,29950666	1,47337042	147,337042
55	1,743446796	61,79326501	1,509869215	150,9869215
56	1,78829165	63,38270839	1,548705998	154,8705998
57	1,836078459	65,07642394	1,590090589	159,0090589
58	1,887079915	66,88407674	1,634259145	163,4259145
59	1,941604026	68,81658359	1,681478411	168,1478411
60	2	70,88632147	1,732050808	173,2050808
				
